timestamp,actual,predicted,anomaly_score
2013-01-08 08:00:00,Vitamin A (6month),None,1
2013-02-18 08:20:00,Vitamin A (6month),None,1
2014-01-07 08:00:00,BCG,None,1
2014-01-07 08:20:00,OPV-0,None,1
2014-01-07 08:40:00,BCG,None,1
2014-01-07 09:00:00,OPV-0,None,0
2014-01-07 09:20:00,OPV-3,None,0
2014-01-07 09:40:00,DPT-HepB-Hib-3,None,1
2014-01-07 10:00:00,Penumococcal 3,None,1
2014-01-14 08:00:00,Rotavirus-1,None,1
2014-01-14 08:20:00,Penumococcal 1,None,1
2014-01-14 08:40:00,DPT-HepB-Hib1,None,1
2014-01-14 09:00:00,OPV-1,None,1
2014-01-14 09:20:00,OPV-1,None,1
2014-01-14 09:40:00,DPT-HepB-Hib1,None,1
2014-01-14 10:00:00,Penumococcal 1,None,1
2014-01-14 10:20:00,Rotavirus-1,None,0
2014-01-14 10:40:00,DPT-HepB-Hib1,None,0
2014-01-14 11:00:00,OPV-1,None,0
2014-01-14 11:20:00,Penumococcal 1,None,0
2014-01-14 11:40:00,Rotavirus-1,Vitamin A (6month),0
2014-01-21 08:00:00,OPV-1,Vitamin A (6month),1
2014-01-21 08:20:00,DPT-HepB-Hib1,BCG,0
2014-01-21 08:40:00,Penumococcal 1,OPV-0,0
2014-01-21 09:00:00,Rotavirus-1,BCG,0
2014-01-21 09:20:00,BCG,OPV-0,0
2014-01-21 09:40:00,OPV-0,OPV-3,0
2014-01-28 08:00:00,BCG,DPT-HepB-Hib-3,0
2014-01-28 08:20:00,OPV-0,Penumococcal 3,0
2014-01-28 08:40:00,BCG,Rotavirus-1,0
2014-01-28 09:00:00,OPV-1,Penumococcal 1,0
2014-01-28 09:20:00,DPT-HepB-Hib1,DPT-HepB-Hib1,0
2014-01-28 09:40:00,Penumococcal 1,OPV-1,0
2014-01-28 10:00:00,Rotavirus-1,OPV-1,0
2014-01-28 10:20:00,OPV-2,DPT-HepB-Hib1,1
2014-01-28 10:40:00,DPT-HepB-Hib 2,Penumococcal 1,1
2014-01-28 11:00:00,Penumococcal 2,Rotavirus-1,1
2014-01-28 11:20:00,Rotavirus 2,DPT-HepB-Hib1,1
2014-01-28 11:40:00,OPV-2,OPV-1,1
2014-01-28 12:00:00,DPT-HepB-Hib 2,Penumococcal 1,0
2014-01-28 12:20:00,Penumococcal 2,Rotavirus-1,0
2014-01-28 12:40:00,Rotavirus 2,OPV-1,0
2014-01-28 13:00:00,OPV-1,DPT-HepB-Hib1,1
2014-01-28 13:20:00,DPT-HepB-Hib1,DPT-HepB-Hib1,0
2014-01-28 13:40:00,Penumococcal 1,OPV-1,0
2014-01-28 14:00:00,Rotavirus-1,Rotavirus-1,0
2014-01-28 14:20:00,OPV-1,BCG,0
2014-01-28 14:40:00,DPT-HepB-Hib1,Rotavirus-1,0
2014-01-28 15:00:00,Penumococcal 1,BCG,0
2014-01-28 15:20:00,Rotavirus-1,Rotavirus-1,0
2014-01-28 15:40:00,BCG,OPV-0,0
2014-01-28 16:00:00,OPV-1,BCG,1
2014-01-28 16:20:00,DPT-HepB-Hib1,OPV-1,1
2014-01-28 16:40:00,Rotavirus-1,BCG,1
2014-01-28 17:00:00,Penumococcal 1,BCG,1
2014-01-28 17:20:00,OPV-1,OPV-0,1
2014-01-28 17:40:00,DPT-HepB-Hib1,BCG,1
2014-01-28 18:00:00,Penumococcal 1,OPV-0,1
2014-01-28 18:20:00,Rotavirus-1,BCG,1
2014-02-04 08:00:00,Measles 1,OPV-0,1
2014-02-04 08:20:00,Yellow Fever,BCG,1
2014-02-04 08:40:00,Vitamin A (6month),OPV-0,1
2014-02-04 09:00:00,OPV-3,Penumococcal 1,1
2014-02-04 09:20:00,DPT-HepB-Hib-3,DPT-HepB-Hib1,1
2014-02-04 09:40:00,Penumococcal 3,DPT-HepB-Hib 2,1
2014-02-04 10:00:00,Measles 1,Penumococcal 2,1
2014-02-04 10:20:00,Yellow Fever,Penumococcal 1,1
2014-02-10 08:00:00,OPV-2,DPT-HepB-Hib1,1
2014-02-10 08:20:00,DPT-HepB-Hib 2,DPT-HepB-Hib 2,1
2014-02-10 08:40:00,Penumococcal 2,Penumococcal 1,1
2014-02-10 09:00:00,Rotavirus 2,Rotavirus-1,1
2014-02-10 09:20:00,Measles 1,OPV-1,1
2014-02-10 09:40:00,Yellow Fever,DPT-HepB-Hib1,1
2014-02-10 10:00:00,Measles 1,Rotavirus-1,1
2014-02-10 10:20:00,Yellow Fever,Penumococcal 1,1
2014-02-10 10:40:00,Measles 1,OPV-1,1
2014-02-10 11:00:00,Yellow Fever,DPT-HepB-Hib1,1
2014-02-10 11:20:00,OPV-1,Penumococcal 1,1
2014-02-10 11:40:00,DPT-HepB-Hib1,Rotavirus-1,1
2014-02-10 12:00:00,Penumococcal 1,Measles 1,1
2014-02-10 12:20:00,Rotavirus-1,Yellow Fever,1
2014-02-10 12:40:00,OPV-2,Vitamin A (6month),1
2014-02-10 13:00:00,DPT-HepB-Hib 2,OPV-3,1
2014-02-10 13:20:00,Penumococcal 2,DPT-HepB-Hib-3,1
2014-02-10 13:40:00,Rotavirus 2,Penumococcal 3,1
2014-02-10 14:00:00,OPV-1,Measles 1,1
2014-02-10 14:20:00,DPT-HepB-Hib1,Yellow Fever,0
2014-02-10 14:40:00,Penumococcal 1,OPV-2,0
2014-02-10 15:00:00,Rotavirus-1,DPT-HepB-Hib 2,0
2014-02-10 15:20:00,Measles 2 ,Penumococcal 2,1
2014-02-10 15:40:00,Vitamin A(18 month),Rotavirus 2,1
2014-02-10 16:00:00,Vitamin A,Measles 1,1
2014-02-10 16:20:00,Measles 2 ,Yellow Fever,1
2014-02-10 16:40:00,BCG,Measles 1,1
2014-02-11 08:00:00,DPT-HepB-Hib 2,Yellow Fever,1
2014-02-11 08:20:00,Penumococcal 2,Measles 1,0
2014-02-11 08:40:00,Rotavirus 2,Yellow Fever,0
2014-02-11 09:00:00,OPV-2,OPV-3,0
2014-02-11 09:20:00,OPV-2,OPV-1,1
2014-02-11 09:40:00,DPT-HepB-Hib 2,DPT-HepB-Hib 2,0
2014-02-11 10:00:00,Penumococcal 2,Penumococcal 2,0
2014-02-11 10:20:00,Rotavirus 2,Rotavirus-1,0
2014-02-11 10:40:00,Vitamin A (6month),Measles 1,1
2014-02-11 11:00:00,OPV-2,Yellow Fever,1
2014-02-11 11:20:00,DPT-HepB-Hib 2,Vitamin A (6month),0
2014-02-11 11:40:00,Penumococcal 2,Penumococcal 1,0
2014-02-11 12:00:00,Rotavirus 2,OPV-1,0
2014-02-11 12:20:00,BCG,DPT-HepB-Hib 2,1
2014-02-11 12:40:00,OPV-0,Penumococcal 2,0
2014-02-11 13:00:00,OPV-2,Measles 2 ,1
2014-02-11 13:20:00,DPT-HepB-Hib 2,DPT-HepB-Hib1,0
2014-02-11 13:40:00,Penumococcal 2,Vitamin A,0
2014-02-11 14:00:00,Rotavirus 2,Measles 1,0
2014-02-11 14:20:00,OPV-2,Rotavirus-1,0
2014-02-11 14:40:00,DPT-HepB-Hib 2,Measles 1,0
2014-02-11 15:00:00,Penumococcal 2,Yellow Fever,0
